Ocupação;Quantitativo;Porcentagem;Data de carga
AGENTE DE VIAGEM E GUIA DE TURISMO;1;0;2025-01-05 03:36:15
Administrador;942;0,0322;2025-01-05 03:36:15
Advogado;2103;0,0719;2025-01-05 03:36:15
Agenciador de Propaganda;8;0,0003;2025-01-05 03:36:15
Agente Administrativo;169;0,0058;2025-01-05 03:36:15
Agente Postal;10;0,0003;2025-01-05 03:36:15
Agente de Saúde e Sanitarista;60;0,0021;2025-01-05 03:36:15
Agente de Serviços Funerários e Embalsamador;3;0,0001;2025-01-05 03:36:15
Agente de Viagem;8;0,0003;2025-01-05 03:36:15
Agricultor;299;0,0102;2025-01-05 03:36:15
Agrônomo;37;0,0013;2025-01-05 03:36:15
Alfaiate e Costureiro;7;0,0002;2025-01-05 03:36:15
Almoxarife;10;0,0003;2025-01-05 03:36:15
Analista de Sistemas;52;0,0018;2025-01-05 03:36:15
Antropólogo;2;0,0001;2025-01-05 03:36:15
Aposentado (Exceto Servidor Público);853;0,0292;2025-01-05 03:36:15
Arqueólogo;1;0;2025-01-05 03:36:15
Arquiteto;50;0,0017;2025-01-05 03:36:15
Artesão;37;0,0013;2025-01-05 03:36:15
Artista Plástico e Assemelhados;21;0,0007;2025-01-05 03:36:15
Artista de Circo;3;0,0001;2025-01-05 03:36:15
Assistente Social;193;0,0066;2025-01-05 03:36:15
Astrônomo;4;0,0001;2025-01-05 03:36:15
Atendente de Lanchonete e Restaurante;3;0,0001;2025-01-05 03:36:15
Atleta Profissional e Técnico em Desportos;26;0,0009;2025-01-05 03:36:15
Ator e Diretor de Espetáculos Públicos;44;0,0015;2025-01-05 03:36:15
Auxiliar de Escritório e Assemelhados;158;0,0054;2025-01-05 03:36:15
Auxiliar de Laboratório;6;0,0002;2025-01-05 03:36:15
Bacteriologista e Assemelhados;1;0;2025-01-05 03:36:15
Bancário e Economiário;70;0,0024;2025-01-05 03:36:15
Bibliotecário;3;0,0001;2025-01-05 03:36:15
Biomédico;15;0,0005;2025-01-05 03:36:15
Biólogo;24;0,0008;2025-01-05 03:36:15
Bombeiro Civil;21;0,0007;2025-01-05 03:36:15
Bombeiro Militar;123;0,0042;2025-01-05 03:36:15
Bombeiro e Instalador de Gás, Água, Esgoto e Assemelhados;2;0,0001;2025-01-05 03:36:15
CABELEIREIRO, BARBEIRO, MANICURE, MAQUILADOR, ESTETICISTA E MASSAGISTA;28;0,001;2025-01-05 03:36:15
Cabeleireiro e Barbeiro;135;0,0046;2025-01-05 03:36:15
Cantor e Compositor;106;0,0036;2025-01-05 03:36:15
Capitalista de Ativos Financeiros;1;0;2025-01-05 03:36:15
Carpinteiro, Marceneiro e Assemelhados;9;0,0003;2025-01-05 03:36:15
Catador de Recicláveis;10;0,0003;2025-01-05 03:36:15
Chaveiro;4;0,0001;2025-01-05 03:36:15
Cientista Político;27;0,0009;2025-01-05 03:36:15
Cobrador de Transporte Coletivo;13;0,0004;2025-01-05 03:36:15
Comandante de Embarcações;1;0;2025-01-05 03:36:15
Comerciante;860;0,0294;2025-01-05 03:36:15
Comerciário;59;0,002;2025-01-05 03:36:15
Comissário de Bordo;5;0,0002;2025-01-05 03:36:15
Comunicólogo;28;0,001;2025-01-05 03:36:15
Contador;168;0,0057;2025-01-05 03:36:15
Controlador de Tráfego Aéreo;1;0;2025-01-05 03:36:15
Coreógrafo e Bailarino;1;0;2025-01-05 03:36:15
Corretor de Imóveis, Seguros, Títulos e Valores;271;0,0093;2025-01-05 03:36:15
Cozinheiro;44;0,0015;2025-01-05 03:36:15
Decorador;7;0,0002;2025-01-05 03:36:15
Demonstrador;2;0,0001;2025-01-05 03:36:15
Deputado;1090;0,0372;2025-01-05 03:36:15
Desenhista;8;0,0003;2025-01-05 03:36:15
Despachante;19;0,0006;2025-01-05 03:36:15
Detetive Particular;1;0;2025-01-05 03:36:15
Digitador;6;0,0002;2025-01-05 03:36:15
Diplomata;2;0,0001;2025-01-05 03:36:15
Diretor de Empresas;36;0,0012;2025-01-05 03:36:15
Diretor de Estabelecimento de Ensino;13;0,0004;2025-01-05 03:36:15
